"","geneID","Symbol","H1","H2","H3","H4","CM1","CM2","CM3","CM4","CS1","CS2","CS3","CS4","CI1","CI2","CI3","CI4"
"AL627309.1","AL627309.1","AL627309.1",45.5956987668842,118.101180433799,56.6667626844675,56.9209454567626,68.1076666869591,84.3036820067713,82.2993485437673,97.3882546049259,141.236153876096,185.058301777688,38.7451963331242,113.184623053053,190.286859002725,394.425511692204,176.519147711586,133.040716811037
"KLHL17","KLHL17","KLHL17",1.30273425048241,6.13512625630126,7.39131687188706,7.98890462551055,6.40328490219273,9.6900783915829,4.95033675451232,21.4254160130837,14.2423012312029,20.7439984293574,23.7097470098223,16.8784087008939,0,11.0586592063235,0,1.14690273112963
"PLEKHN1","PLEKHN1","PLEKHN1",0,0,7.39131687188706,0.998613078188818,6.98540171148298,0.96900783915829,0,0.649255030699506,2.37371687186715,0.545894695509404,0.57828651243469,0.496423785320408,11.532536909256,3.68621973544116,0,4.58761092451852
"HES4","HES4","HES4",2.60546850096481,1.53378156407532,0,0,5.23905128361224,9.6900783915829,0,3.24627515349753,0,0,4.04800558704283,1.48927135596122,2.88313422731401,2.76466480158087,0,4.58761092451852
"ISG15","ISG15","ISG15",63.8339782736379,110.432272613423,22.1739506156612,10.984743860077,438.916074204847,533.923319376218,69.3047145631725,192.179489087054,13.0554427952693,42.0338915542241,624.549433429465,38.7210552549918,51.8964160916521,61.7441805686394,24.4240330166975,74.548677523426
"AGRN","AGRN","AGRN",7.81640550289444,6.13512625630126,7.39131687188706,1.99722615637764,26.7773732273514,34.8842822096985,3.0939604715702,11.0373355218916,5.93429217966789,1.63768408652821,30.6491851590386,64.535092091653,2.88313422731401,9.2155493386029,1.1101833189408,12.6159300424259
"C1orf159","C1orf159","C1orf159",27.3574192601305,58.283699434862,2.46377229062902,6.99029154732173,2.91058404645124,4.84503919579145,14.851010263537,6.49255030699506,28.4846024624058,6.55073634611285,14.4571628108672,32.7639698311469,152.806114047642,12.9017690740441,18.8731164219935,60.7858447498704
"TNFRSF18","TNFRSF18","TNFRSF18",7.81640550289444,21.4729418970544,0,4.99306539094409,11.642336185805,9.6900783915829,8.04429722608252,12.3358455832906,4.74743374373431,12.5555779967163,10.9874437362591,5.9570854238449,0,3.68621973544116,2.22036663788159,16.0566382358148
"TNFRSF4","TNFRSF4","TNFRSF4",6.51367125241203,7.66890782037658,0,1.99722615637764,5.82116809290248,10.6590862307412,3.0939604715702,1.29851006139901,1.18685843593358,3.82126286856583,3.46971907460814,1.98569514128163,0,0,1.1101833189408,6.88141638677778
"SDF4","SDF4","SDF4",280.087863853717,197.857821765716,544.493676229013,313.564506551289,463.364980195038,566.8695859076,492.558507073976,399.941098910896,804.690019562965,442.720598058127,483.447524395401,520.252127015788,178.754322093468,716.969738543306,649.457241580365,346.364624801148
"B3GALT6","B3GALT6","B3GALT6",65.1367125241203,36.8107575378076,123.188614531451,36.9486838929863,111.766427383728,77.5206271326632,52.5973280166934,59.082207793655,67.6509308482139,75.8793626758072,59.5635107807731,81.9099245778673,51.8964160916521,34.0975325528307,39.9665994818686,26.3787628159815
"UBE2J2","UBE2J2","UBE2J2",334.802702373978,296.019841866536,537.102359357126,243.661591078072,239.832125427582,231.592873558831,292.688660610541,215.552670192236,452.193064090693,406.145653458997,285.095250630302,316.71837503442,152.806114047642,432.209263980476,313.071695941304,313.104445598389
"SCNN1D","SCNN1D","SCNN1D",3.90820275144722,7.66890782037658,4.92754458125804,6.99029154732173,11.642336185805,8.72107055242461,15.469802357851,12.3358455832906,1.18685843593358,15.2850514742633,16.770308860606,2.48211892660204,8.64940268194202,7.37243947088232,8.88146655152636,5.73451365564815
"ACAP3","ACAP3","ACAP3",1.30273425048241,3.06756312815063,2.46377229062902,2.99583923456645,4.07481766503174,5.81404703494974,6.80671303745444,6.49255030699506,9.49486748746862,5.45894695509404,6.36115163678159,1.98569514128163,11.532536909256,9.2155493386029,5.55091659470398,8.02831911790741
"CPSF3L","CPSF3L","CPSF3L",1.30273425048241,0,0,1.99722615637764,1.1642336185805,2.90702351747487,1.23758418862808,2.59702012279802,1.18685843593358,4.36715756407523,5.20457861191221,1.48927135596122,0,2.76466480158087,1.1101833189408,0
"GLTPD1","GLTPD1","GLTPD1",22.1464822582009,15.3378156407532,22.1739506156612,12.9819700164546,8.14963533006348,1.93801567831658,6.80671303745444,6.49255030699506,10.6817259234022,6.00484165060344,9.25258419895504,0.992847570640816,14.41567113657,14.7448789417646,18.8731164219935,24.0849573537222
"DVL1","DVL1","DVL1",20.8437480077185,15.3378156407532,19.7101783250322,17.9750354073987,11.642336185805,21.3181724614824,18.5637628294212,22.0746710437832,24.9240271546051,29.4783135575078,23.7097470098223,14.8927135596122,0,8.29399440474261,8.88146655152636,27.5256655471111
"MXRA8","MXRA8","MXRA8",0,0,0,5.99167846913291,0.582116809290248,0,3.0939604715702,1.94776509209852,0,0.545894695509404,0.57828651243469,4.46781406788367,0,0,0,0
"AURKAIP1","AURKAIP1","AURKAIP1",178.47459231609,134.972777638628,160.145198890886,69.9029154732173,86.1532877749568,76.5516192935049,105.194656033387,79.8583687760392,110.377834541823,84.6136778039576,81.5383982532913,103.752571131965,158.57238250227,117.037476600257,128.781264997132,147.950452315722
"CCNL2","CCNL2","CCNL2",170.658186813195,256.141521200578,268.551179678563,234.674073374372,171.142341931333,214.150732453982,190.587965048724,139.589831600394,159.039030415099,219.44966759478,220.327161237617,158.35918751721,172.98805363884,99.5279328569113,101.026682023612,88.3115102969815
"RP4-758J18.2","RP4-758J18.2","RP4-758J18.2",0,3.06756312815063,12.3188614531451,2.99583923456645,1.74635042787075,0,0.61879209431404,1.29851006139901,3.56057530780073,2.18357878203762,1.73485953730407,0.992847570640816,0,0.92155493386029,0,2.29380546225926
"MRPL20","MRPL20","MRPL20",11.7246082543417,7.66890782037658,32.0290397781773,16.9764223292099,18.0456210879977,16.4731332656909,21.0389312066774,27.9179663200788,18.9897349749372,28.9324188619984,15.6137358357366,29.7854271192245,0,20.2742085449264,17.7629331030527,0
"ANKRD65","ANKRD65","ANKRD65",6.51367125241203,0,0,1.99722615637764,0,0,1.85637628294212,0,0,0,0,8.43920435044694,0,0.92155493386029,0,0
"VWA1","VWA1","VWA1",0,0,0,0,0,0,0,0.649255030699506,13.0554427952693,0,0,31.2746984751857,0,0,0,0
"ATAD3C","ATAD3C","ATAD3C",3.90820275144722,9.2026893844519,4.92754458125804,3.99445231275527,4.65693447432199,3.87603135663316,1.23758418862808,4.54478521489654,1.18685843593358,3.27536817305642,0,0,2.88313422731401,9.2155493386029,1.1101833189408,0
"ATAD3B","ATAD3B","ATAD3B",31.2656220115777,38.3445391018829,0,2.99583923456645,13.970803422966,5.81404703494974,16.7073865464791,11.6865905525911,8.30800905153504,10.3719992146787,8.09601117408566,6.4535092091653,112.442234865246,9.2155493386029,35.5258662061054,16.0566382358148
"ATAD3A","ATAD3A","ATAD3A",52.1093700192962,50.6147916144854,0,10.984743860077,16.8813874694172,17.4421411048492,19.8013470180493,29.8657314121773,49.8480543092102,20.7439984293574,21.9748874725182,50.1388023173612,129.74104022913,46.0777466930145,58.8397159038621,40.1415955895371
"SSU72","SSU72","SSU72",402.544883399063,233.134797739448,160.145198890886,217.697651045162,214.801102628102,208.336685419032,156.554399861452,218.798945345734,217.195093775845,214.536615335196,223.796880312225,253.176130513408,167.221785184212,196.291200912242,160.976581246415,204.148686141074
"AL645728.1","AL645728.1","AL645728.1",1.30273425048241,0,2.46377229062902,1.99722615637764,0.582116809290248,1.93801567831658,0.61879209431404,3.24627515349753,0,2.72947347754702,1.73485953730407,2.97854271192245,2.88313422731401,3.68621973544116,3.33054995682239,5.73451365564815
"C1orf233","C1orf233","C1orf233",5.21093700192962,1.53378156407532,4.92754458125804,0,2.91058404645124,0,0,2.59702012279802,4.74743374373431,1.63768408652821,0.57828651243469,2.48211892660204,0,3.68621973544116,7.77128323258557,1.14690273112963
"MIB2","MIB2","MIB2",54.714838520261,41.4121022300335,7.39131687188706,5.99167846913291,15.1350370415465,10.6590862307412,9.2818814147106,13.6343556446896,14.2423012312029,3.82126286856583,19.0834549103448,6.94993299448571,57.6626845462802,3.68621973544116,15.5425664651711,35.5539846650185
"CDK11B","CDK11B","CDK11B",20.8437480077185,13.8040340766778,12.3188614531451,28.9597792674757,9.31386894864398,13.5661097482161,25.9892679611897,37.0075367498718,16.6160181030701,25.657050688942,12.7223032735632,18.8641038421755,23.0650738185121,33.1759776189704,41.0767828008094,36.7008873961482
"SLC35E2B","SLC35E2B","SLC35E2B",23.4492165086833,159.513282663833,7.39131687188706,15.9778092510211,78.0036524448933,10.6590862307412,25.3704758668756,159.716737552078,129.36756951676,144.662094309992,163.076796506583,45.6709882494775,54.7795503189662,131.782355542021,61.0600825417437,14.9097355046852
"CDK11A","CDK11A","CDK11A",2.60546850096481,3.06756312815063,0,3.99445231275527,8.73175213935373,15.5041254265326,3.71275256588424,1.29851006139901,0,2.72947347754702,2.89143256217345,4.46781406788367,0,7.37243947088232,2.22036663788159,14.9097355046852
"SLC35E2","SLC35E2","SLC35E2",1.30273425048241,0,2.46377229062902,2.99583923456645,0,0,1.23758418862808,0,0,0,1.15657302486938,3.97139028256326,0,0,0,0
"NADK","NADK","NADK",70.3476495260499,111.966054177498,278.406268841079,145.797509415567,250.310227994807,177.328434565967,134.277884466147,183.73917368796,265.856289649121,270.217874277155,172.907667217972,291.400761983079,74.9614899101642,377.837522882719,348.59756214741,186.94514517413
