"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison","GeneSetType"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",110,0.571024482313563,2.51590287316688,1e-10,5.55555555555556e-10,2.10526315789474e-10,2326,"tags=40%, list=17%, signal=33%","SERPINE1/FGA/F2/FGG/APOC3/ADAM9/FN1/SERPINB2/MMP9/HTRA1/THBD/RAC1/PEF1/THBS1/TF/PLEK/CLU/SERPING1/MMP10/ARF4/OLR1/PROS1/ANG/MMP14/GSN/C1S/DUSP6/APOC1/MST1/HNF4A/C3/APOA1/LRP1/F12/F3/GNB2/C1QA/MBL2/PLAU/DPP4/LAMP2/CAPN5/CAPN2/BMP1","COVID_Severe","Hallmark"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",110,0.512020142230104,2.1866124458082,2.40439904700343e-08,1.6109596872105e-07,7.12213756450957e-08,2071,"tags=32%, list=15%, signal=27%","SERPINE1/GNB2/MMP9/CLU/LTA4H/ADAM9/GSN/MMP10/OLR1/LRP1/THBS1/F2/MMP8/SERPINB2/PLEK/THBD/HTRA1/RAC1/GP1BA/PF4/C1QA/FN1/PEF1/F3/KLF7/ANXA1/DUSP6/TIMP1/LAMP2/MSRB2/RAPGEF3/GP9/PLAU/MAFF/SIRT2","COVID_Critical","Hallmark"
"REACTOME_HEMOSTASIS","REACTOME_HEMOSTASIS",476,0.387885451304404,1.98828687469808,1e-10,6.92222222222222e-09,5.74853801169591e-09,1981,"tags=29%, list=15%, signal=25%","SERPINE1/GNB2/GNAQ/CLU/CEACAM1/CDK5/QSOX1/MAPK14/SRGN/KLC1/CEACAM3/P2RX4/ACTN1/CEACAM8/CEACAM6/KIF4A/SDC1/PRTN3/FERMT3/KIF2C/GNA15/MERTK/NRAS/MFN2/HBD/SLC8A1/SRI/SLC16A3/ITGAM/ALDOA/SDC4/MYB/OLR1/ORM1/IGF2/TOR4A/HBB/FGR/CAP1/LYN/THBS1/F2/LHFPL2/GAS6/KIF11/KIF5B/GNAI3/PRKCD/SERPINB2/PLEK/RHOA/THBD/RACGAP1/TUBA1C/DOCK5/CENPE/KRAS/PPBP/CLEC3B/NFE2/MAFG/DOCK4/MAPK1/CDK2/RAC1/CRK/SCCPDH/SYK/MICAL1/ANXA5/GP1BA/PLAUR/F5/ITGA2B/PF4/VTI1B/CD58/KDM1A/GNG5/MGLL/RCOR1/FN1/PDE2A/TBXA2R/VEGFA/SIRPA/JAK2/KLC2/F13A1/TMX3/KIF20A/F3/ADRA2B/IGF1/ITIH4/RAP1A/DOCK2/CAPZA1/LRP8/SERPINB8/TUBB6/PRKAR2B/TIMP1/ITGAX/CD47/KIF1B/TREM1/ESAM/PPP2R5B/HMG20B/CAPZA2/HGF/ALB/SLC7A5/HDAC2/NHLRC2/PIK3CB/ACTB/LAMP2/CD36/BRPF3/KIF23/GRB2/MMRN1/SELL/IRF2/VCL/RAPGEF3/PDPK1/KIF3B/GNAI2/ANXA2/GP9/PLAU/ATP2B1/DOCK6/MAFF","COVID_Critical","Reactome"
"REACTOME_HEMOSTASIS","REACTOME_HEMOSTASIS",476,0.369732948068973,1.9052733747162,1e-10,7.7875e-09,6.35526315789474e-09,2521,"tags=29%, list=19%, signal=24%","SERPINE1/IGF2/TUBB2B/P2RX4/FGA/F2/SERPINA5/SDC1/FGG/SERPIND1/SLC8A1/ALB/SDC4/KLC1/FN1/PLAUR/ITGAX/CEACAM1/MAPK14/SERPINB2/DOCK4/AHSG/SRGN/THBD/RAC1/ITGAV/TUBB2A/SDC2/PHF21A/LHFPL2/THBS1/ORM1/SLC16A3/VAV1/TUBB3/STX4/MERTK/TF/VEGFA/KIF4A/PLEK/ADRA2B/TFPI/CLU/GNA15/SERPING1/CEACAM3/F5/FGB/TUBA1C/F13A1/FERMT3/ITGAM/PPP2CB/LRP8/TUBB4B/ANXA5/SIRPA/OLR1/TUBB6/ATP2B2/DOCK5/IGF1/TREM1/PRKACA/CAPZA1/SLC7A5/PROS1/HSPA5/QSOX1/APOB/PICK1/SLC7A8/MAFG/KIF2C/GNAI3/RHOG/CEACAM6/PRKCD/KIF22/ATP2B1/BSG/SRC/CENPE/CDK5/HGF/VPREB3/SLC7A11/ATP2A2/ATP1B1/APOA1/KIF13B/CXADR/LYN/NRAS/PRTN3/SLC16A1/ACTN1/PPP2R1B/SDC3/ITPR3/CD99/GNG5/F12/F3/MFN2/GNA14/VAV2/GNB2/BCAR1/TUBA1B/TNFRSF10B/TOR4A/TNFRSF10D/PLAU/LAMP2/KCNMB3/SELPLG/KIF18A/LGALS3BP/IFNB1/DGKZ/FGR/SCCPDH/GNAQ/CALU/C1QBP/EPCAM/KIF20A/GP6/NFE2/SLC7A10/ITGA2B/KIF11/DOK2/F10/KLC4","COVID_Severe","Reactome"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",110,0.40324129971977,1.74871448867069,0.000289972089208329,0.000690409736210307,0.000319768719928984,2154,"tags=25%, list=16%, signal=21%","SERPINE1/THBD/SERPINB2/SERPING1/F2/PLEK/OLR1/ADAM9/TIMP1/F3/DUSP6/MAFF/ARF4/DPP4/GNB2/CAPN2/CLU/PEF1/FYN/SH2B2/PLAU/C3/MMP9/C1QA/LAMP2/ANXA1/GP1BA","COVID_Mild","Hallmark"
"REACTOME_HEMOSTASIS","REACTOME_HEMOSTASIS",476,0.314574185413674,1.6267675268449,4.72696645503655e-07,1.68280005799301e-05,1.42875226686067e-05,2096,"tags=24%, list=16%, signal=21%","SERPINE1/THBD/ITGAX/SERPINB2/SDC1/SERPING1/SRC/ATP2B1/LGALS3BP/GNG5/F2/ANXA5/NRAS/KLC1/FCER1G/KIF4A/CAPZA1/PLEK/IGF1/OLR1/SRGN/ITPR3/JMJD1C/GNAI3/TIMP1/GNA15/PLAUR/F3/SERPINB8/SDC4/SIN3A/LYN/P2RX4/CEACAM1/MAFF/VEGFA/LHFPL2/PPP2CB/MFN2/FAM3C/ADRA2B/GNAQ/TLN1/SLC7A5/CENPE/DOCK4/RAP1A/TNFRSF10B/KDM1A/SLC7A11/TREM1/ITGA5/GAS6/STXBP3/MAFG/GNB2/PTPN11/TUBB6/CD36/CLU/SRI/HGF/DOCK5/ITIH4/ESAM/SLC8A1/ITPR2/FYN/MAPK14/KIF13B/PRKCD/SDC2/GP6/FERMT3/PHACTR2/ITGAM/KIF3A/KIF18B/CD58/RASGRP1/PPP2R1B/TEX264/DOCK8/PHF21A/GNA13/KIF26A/AKT1/VPREB3/SH2B2/JAK2/APBB1IP/PLAU/KIF2C/VPS45/SCCPDH/F5/IRF2/SDC3/MFN1/SELL/DOCK2/RAC2/RHOG/CABLES2/TBXA2R/TUBB3/SH2B3/LAMP2/GNGT2/ITGA3/VTI1B/VAV1/IFNB1/PPP2CA","COVID_Mild","Reactome"
